"cty","ZIP","Mode","TOS","Mode.VOMS","total_cap_exp","City","State","Service.Area.Sq.Miles","Sq.Miles","total_op_exp","max_trains","avg_speed","avg_trip_length","pax_per_hr","veh_revenue_hours","veh_revenue_miles","Train.Miles","Train.Hours","Unlinked.Passenger.Trips","Passenger.Miles","Directional.Route.Miles","track_miles_rev","track_miles_nonrev","fixed_guideway_miles","busway_exclusive_miles","control_access_miles","row_total_miles","cbsa","cbsaname","ctyname","spatial_id"
"06019","93618","MB","DO",4,129283,"Dinuba","CA",NA,NA,830506,0,14.2917,0,1.5496,12597,180032,0,0,19520,0,0,NA,NA,NA,NA,NA,NA,23420,"Fresno, CA","Fresno County, CA",23420
"06019","93721","DR","PT",71,969703,"Fresno","CA",NA,NA,3452618,0,10.8694,0,5.7082,49631,539459,0,0,283304,0,0,NA,NA,NA,NA,NA,NA,23420,"Fresno, CA","Fresno County, CA",23420
"06019","93721","DR","PT",75,535337,"Fresno","CA",NA,NA,3452618,0,10.8694,0,5.7082,49631,539459,0,0,283304,0,0,NA,NA,NA,NA,NA,NA,23420,"Fresno, CA","Fresno County, CA",23420
"06019","93721","MB","PT",15,255000,"Fresno","CA",NA,NA,1342685,0,21.2782,0,4.9716,18926,402712,0,0,94093,0,0,NA,NA,NA,NA,NA,NA,23420,"Fresno, CA","Fresno County, CA",23420
"06019","93618","DR","DO",2,24240,"Dinuba","CA",NA,NA,90232,0,8.293,0,7.0589,2358,19555,0,0,16645,0,0,NA,NA,NA,NA,NA,NA,23420,"Fresno, CA","Fresno County, CA",23420
"06019","93706","DR","PT",52,960305,"Fresno","CA",133,171,7204580,0,11.6432,7.1563,2.0454,104147,1212603,0,0,213026,1524485,0,NA,NA,NA,NA,NA,NA,23420,"Fresno, CA","Fresno County, CA",23420
"06019","93618","MB","DO",4,202724,"Dinuba","CA",NA,NA,830506,0,14.2917,0,1.5496,12597,180032,0,0,19520,0,0,NA,NA,NA,NA,NA,NA,23420,"Fresno, CA","Fresno County, CA",23420
"06019","93706","DR","PT",50,615771,"Fresno","CA",133,171,7204580,0,11.6432,7.1563,2.0454,104147,1212603,0,0,213026,1524485,0,NA,NA,NA,NA,NA,NA,23420,"Fresno, CA","Fresno County, CA",23420
"06023","95501","MB","DO",5,313922,"Eureka","CA",NA,NA,1248722,0,31.3365,0,3.6473,12896,404116,0,0,47036,0,0,NA,NA,NA,NA,NA,NA,21700,"Eureka-Arcata-Fortuna, CA","Humboldt County, CA",21700
"06023","95501","CB","DO",9,502667,"Eureka","CA",NA,NA,2834051,0,21.475,0,14.8176,33692,723537,0,0,499234,0,0,NA,NA,NA,NA,NA,NA,21700,"Eureka-Arcata-Fortuna, CA","Humboldt County, CA",21700
"06023","95501","MB","DO",5,113929,"Eureka","CA",NA,NA,1248722,0,31.3365,0,3.6473,12896,404116,0,0,47036,0,0,NA,NA,NA,NA,NA,NA,21700,"Eureka-Arcata-Fortuna, CA","Humboldt County, CA",21700
"06023","95501","CB","DO",9,265833,"Eureka","CA",NA,NA,2834051,0,21.475,0,14.8176,33692,723537,0,0,499234,0,0,NA,NA,NA,NA,NA,NA,21700,"Eureka-Arcata-Fortuna, CA","Humboldt County, CA",21700
