"MicrotypeID","microtype","geotype","Mode","cost_air","cost_ghg","cost_noise","cost_crash"
"E_6",6,"E","freight",0.16933898582002,0.0118271029754909,0.00218854005452658,0.129121600607735
"F_1",1,"F","freight",0.573580950691519,0.00560239305083357,0.0654865408993119,0.161963352029017
"F_1",1,"F","hv",0.101947703237687,0.0037636833952794,0.0024793788456228,0.303693043231342
"F_1",1,"F","bus",1.92718831694161,0.0123901713784461,0.0510416425542025,0.251045629813209
"F_2",2,"F","freight",0.798331683034118,0.00558337545399146,0.078005029466612,0.161963352090894
"F_2",2,"F","hv",0.148558016504287,0.00376147806662297,0.00302843455320821,0.303693043347365
"F_2",2,"F","bus",2.74880841291376,0.0123973918309091,0.0606103513949218,0.251045629909118
"F_3",3,"F","freight",0.677055472151208,0.00657217173443929,0.0485341729686231,0.161963351288082
"F_3",3,"F","hv",0.105601429219415,0.00374746960008182,0.00230131239820243,0.303693041842034
"F_3",3,"F","bus",1.74730677848337,0.0114374098701959,0.037900536100405,0.251045628664748
"F_4",4,"F","bus",1.10890020645902,0.0124469355970908,0.0307956665209261,0.25104563019927
"F_4",4,"F","hv",0.0651885153797837,0.00381216105521775,0.00145617405203853,0.303693043698365
"F_4",4,"F","freight",0.339623849177624,0.00579662522998727,0.0390222679061489,0.161963352278087
"F_5",5,"F","freight",0.450928137953845,0.0057014115945932,0.0494957306565487,0.161963345360223
"F_5",5,"F","hv",0.0813871818251022,0.00379095098377907,0.00188559087399746,0.303693030726867
"F_5",5,"F","bus",1.48852648360714,0.0124309764340949,0.0386519763666496,0.251045619476477
"F_6",6,"F","bus",0.0748474292833188,0.0047301280185224,0.00119687914841962,0.192981555353173
"F_6",6,"F","freight",0.146068491027581,0.0117878953630775,0.00153986475399858,0.129121600484886
"F_6",6,"F","hv",0.00793097917527948,0.00325130161484392,7.8530579804483e-05,0.322304585800726
